intent,button,entities,labels
chitchat,Just making small-talk ,,
out_of_scope,Something else...,,
affirm,Yes!,,
bye,Bye!,,
canthelp,I'm not sure that you can help me 🧐,,
deny,No,,
greet,Hi!,,
react_negative,I'm sad! 🙁,,
react_positive,I'm happy!🥳,,
chitchat/ask_builder,Who built you?,,
chitchat/ask_howbuilt,How were you built?,,
chitchat/ask_howdoing,How are you doing?,,
chitchat/ask_howold,How old are you?,,
chitchat/ask_isbot,Are you a bot? 🤖,,
chitchat/ask_ishuman,Are you a human? 👽,,
chitchat/ask_languagesbot,What languages do you speak?,,
chitchat/ask_restaurant,Can you recommend a restaurant?,,
chitchat/ask_time,What time is it?,,
chitchat/ask_weather,How's the weather?,,
chitchat/ask_whatismyname,What is your name?,,
chitchat/ask_wherefrom,Where are you from?,,
chitchat/ask_whoami,Who are you?,,
chitchat/ask_whoisit,Who are you?,,
chitchat/handleinsult,You wanted to insult me 😔.,,
chitchat/nicetomeetyou,Nice to meet you,,
out_of_scope/non_english,I'm speaking a non-english language,,
out_of_scope/other,Something else,,
fuseclassroom/ask_fuseclassroom,What is Fuse Classroom?,,
fuseclassroom/remote_access,Is the platform remotely accessible?,,
fuseclassroom/multiple_class,Can multiple classes be accessed at once?,,
fuseclassroom/resubmit_assignment_mistake,Is it possible to resubmit the assignment?,,
fuseclassroom/delete_assignment,Can I delete submitted assignment,,
fuseclassroom/fees_payment,Is it possible to pay my dues through this platform?,,
fuseclassroom/limited_filesize,Can I upload large files?,,
fuseclassroom/plagiarism_report,Tell me more about plagiarism reports,,
fuseclassroom/suppoted_filetype,What file types does it support?,,
fuseclassroom/course_access,Are the courses accessible anytime?,,
fuseclassroom/new_topic_added,How will I know about the new topics?,,
help_me,Help me,,
help_contact,I want contact information,Contact Info,
help_policy,Ask school policies,School Policies Info,
help_course,Course related question,Course Related Info,
help_contact_teacher,Teacher contact info,Teacher Contact Info,
help_contact_school,School contact info,School Contact Info,
help_available_scholarship,Available scholarships,Available Scholarships Info,
help_grading_policy,Ask grading policies,Grading Policies Info,
help_exam_weight,Ask exam weights,Internal Exam Weightage Info,
